scenario_id,simulation_id,seed,frequency_scenario,tail_type,inflation_scenario,structural_break,clause_type,basis,model,history_window_years,history_start_ay,evaluation_start_ay,evaluation_end_ay,success,success_or_failure,failure_type,failure_category,failure_message,failure_reason,fit_min_accident_year,fit_max_accident_year,fit_received_pre_window_ay,future_cells_hidden_from_fit,evaluation_truth_used_for_fitting,observed_target_paid,true_target_reserve,true_target_ultimate,estimated_target_reserve,true_reserve,estimated_reserve,selected_alpha,selected_power,runtime_seconds,pipeline_reconciliation_passed,model_reconciliation_passed,target_estimate_reconciliation_passed,target_truth_reconciliation_passed,signed_error,absolute_error,percentage_error,absolute_percentage_error,normalised_error
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,chain_ladder,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,61347263.22433759,55892585.70819512,61347263.22433759,,,0.023174599999038037,True,True,True,True,5454677.516142473,5454677.516142473,9.7592148350773,9.7592148350773,0.097592148350773
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,inflation_adjusted_chain_ladder,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,62692631.35020347,55892585.70819512,62692631.35020347,,,0.03846220000559697,True,True,True,True,6800045.642008349,6800045.642008349,12.166274928682192,12.166274928682192,0.12166274928682193
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,cashflow_uplift,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,61347263.22433759,55892585.70819512,61347263.22433759,,,0.030708700003742706,True,True,True,True,5454677.516142473,5454677.516142473,9.7592148350773,9.7592148350773,0.097592148350773
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,regularized_poisson,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,54273695.77234772,55892585.70819512,54273695.77234772,0.01,,0.5944524000005913,True,True,True,True,-1618889.9358474016,1618889.9358474016,-2.8964305646894335,2.8964305646894335,-0.028964305646894336
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,regularized_poisson_break_interaction,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,54273695.77232571,55892585.70819512,54273695.77232571,0.01,,0.6136880999983987,True,True,True,True,-1618889.9358694106,1618889.9358694106,-2.8964305647288113,2.8964305647288113,-0.02896430564728811
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,regularized_tweedie,10,2015,2020,2024,True,success,,,,,2015,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,50251017.59236856,55892585.70819512,50251017.59236856,0.001,1.5,2.57779180000216,True,True,True,True,-5641568.115826562,5641568.115826562,-10.093589416814867,10.093589416814867,-0.10093589416814867
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,chain_ladder,7,2018,2020,2024,True,success,,,,,2018,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,54096005.922709376,55892585.70819512,54096005.922709376,,,0.01983499999914784,True,True,True,True,-1796579.7854857445,1796579.7854857445,-3.214343660651801,3.214343660651801,-0.032143436606518014
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,inflation_adjusted_chain_ladder,7,2018,2020,2024,True,success,,,,,2018,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,54562597.73128435,55892585.70819512,54562597.73128435,,,0.03326039999956265,True,True,True,True,-1329987.97691077,1329987.97691077,-2.379542760562898,2.379542760562898,-0.02379542760562898
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,cashflow_uplift,7,2018,2020,2024,True,success,,,,,2018,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,54096005.922709376,55892585.70819512,54096005.922709376,,,0.0275679999977001,True,True,True,True,-1796579.7854857445,1796579.7854857445,-3.214343660651801,3.214343660651801,-0.032143436606518014
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,regularized_poisson,7,2018,2020,2024,False,failed,insufficient_historical_validation,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,ValueError: No alpha value produced enough successful rolling validation folds.,2018,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,,55892585.70819512,,,,0.23547859999962384,True,False,False,True,,,,,
short_stable_no_break,1,20260817,constant,short,stable,False,none,ceded,regularized_poisson_break_interaction,7,2018,2020,2024,False,failed,insufficient_historical_validation,insufficient_historical_validation,ValueError: No alpha value produced enough successful rolling validation folds.,ValueError: No alpha value produced enough successful rolling validation folds.,2018,2024,False,True,False,105368778.95236364,55892585.70819512,161261364.66055873,,55892585.70819512,,,,0.24110020000080112,True,False,False,True,,,,,
