scenario_id,basis,model,prior_multiplier,attempted_fits,successful_fits,success_rate,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,RMSE,percentage_error_std,mean_runtime_seconds
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,1.1,50,50,1.0,-32.322554452013385,-32.79818621509051,32.322554452013385,143315522.17909414,5.192637694059459,0.0037967700001900083
long_emerging_no_break,ceded,bornhuetter_ferguson_break_aware,1.2,50,50,1.0,-26.17005940219643,-26.68893041646239,26.17005940219643,118032155.40041097,5.664695666246681,0.0037528339998971205
long_emerging_no_break,ceded,bornhuetter_ferguson_standard,0.8,50,50,1.0,-50.780039601464274,-51.12595361097493,50.780039601464274,220320897.49232164,3.776463777497787,0.0044790540004032665
long_emerging_no_break,ceded,bornhuetter_ferguson_standard,0.9,50,50,1.0,-44.62754455164732,-45.01669781234679,44.62754455164732,194535839.8320065,4.248521749685012,0.006543925999867497
long_emerging_no_break,ceded,bornhuetter_ferguson_standard,1.0,50,50,1.0,-38.475049501830355,-38.90744201371866,38.475049501830355,168849656.9565923,4.720579721872235,0.003913536000181921
long_emerging_no_break,ceded,bornhuetter_ferguson_standard,1.1,50,50,1.0,-32.322554452013385,-32.79818621509051,32.322554452013385,143315522.17909414,5.192637694059459,0.003968597999919439
long_emerging_no_break,ceded,bornhuetter_ferguson_standard,1.2,50,50,1.0,-26.17005940219643,-26.68893041646239,26.17005940219643,118032155.40041097,5.664695666246681,0.0038826620002510026
long_emerging_no_break,ceded,expected_loss,0.8,50,50,1.0,-21.141906509704672,-21.857558582055923,21.141906509704672,100882041.81450556,8.197122302518974,0.008889809999527643
long_emerging_no_break,ceded,expected_loss,0.9,50,50,1.0,-7.908576422281644,-8.345447178787467,10.440753232315556,54996017.67921306,9.334384291759335,0.008858547999698202
long_emerging_no_break,ceded,expected_loss,1.0,50,50,1.0,5.75957669405143,5.009607558683003,9.489885353018945,47304622.22184725,10.44690868495084,0.008767217999702552
long_emerging_no_break,ceded,expected_loss,1.1,50,50,1.0,19.775821465594554,18.909675512441986,19.775821465594554,91684491.33067125,11.560662117368157,0.008871306000219192
long_emerging_no_break,ceded,expected_loss,1.2,50,50,1.0,34.050792204844036,33.620057790026856,34.050792204844036,148181348.48947835,12.700569944794676,0.00877517400018405
long_emerging_no_break,gross,bornhuetter_ferguson_break_aware,0.8,50,50,1.0,-36.92194897470809,-37.18475562142471,36.92194897470809,333014306.35443026,4.530478663139983,0.0038426299995626325
long_emerging_no_break,gross,bornhuetter_ferguson_break_aware,0.9,50,50,1.0,-29.037192596546607,-29.332850074102815,29.037192596546607,265583361.5543465,5.096788496032481,0.003863425999006722
long_emerging_no_break,gross,bornhuetter_ferguson_break_aware,1.0,50,50,1.0,-21.152436218385105,-21.480944526780895,21.152436218385105,199188931.17965123,5.663098328924979,0.003899705999501748
long_emerging_no_break,gross,bornhuetter_ferguson_break_aware,1.1,50,50,1.0,-13.267679840223607,-13.62903897945898,13.399608113679712,135364889.63788825,6.229408161817478,0.003887628000229597
long_emerging_no_break,gross,bornhuetter_ferguson_break_aware,1.2,50,50,1.0,-5.382923462062123,-5.777133432137072,7.10537120124574,80478513.0395949,6.7957179947099755,0.003832455999654485
long_emerging_no_break,gross,bornhuetter_ferguson_standard,0.8,50,50,1.0,-36.92194897470809,-37.18475562142471,36.92194897470809,333014306.35443026,4.530478663139983,0.003940545999503229
long_emerging_no_break,gross,bornhuetter_ferguson_standard,0.9,50,50,1.0,-29.037192596546607,-29.332850074102815,29.037192596546607,265583361.5543465,5.096788496032481,0.003817629999684868
long_emerging_no_break,gross,bornhuetter_ferguson_standard,1.0,50,50,1.0,-21.152436218385105,-21.480944526780895,21.152436218385105,199188931.17965123,5.663098328924979,0.00378099800014752
long_emerging_no_break,gross,bornhuetter_ferguson_standard,1.1,50,50,1.0,-13.267679840223607,-13.62903897945898,13.399608113679712,135364889.63788825,6.229408161817478,0.003840278001007391
long_emerging_no_break,gross,bornhuetter_ferguson_standard,1.2,50,50,1.0,-5.382923462062123,-5.777133432137072,7.10537120124574,80478513.0395949,6.7957179947099755,0.003812945999961812
long_emerging_no_break,gross,expected_loss,0.8,50,50,1.0,-30.747191355144327,-31.131800685820984,30.747191355144327,287908635.4939316,8.092032337605065,0.008932563999696868
