scenario_id,accident_year,expected_loss_prior_ultimate,pricing_assumption_version,paid_to_date,estimated_reserve,estimated_ultimate,prior_exhausted,basis,model,true_reserve,simulation_id,seed,tail_type,inflation_scenario,structural_break,clause_type,signed_error
short_stable_no_break,2018,117652811.81286904,pricing_mc_v1,110290161.58343436,7362650.229434684,117652811.81286904,False,gross,expected_loss,0.0,26,20260842,short,stable,False,none,7362650.229434684
short_stable_no_break,2019,121431102.18952312,pricing_mc_v1,129784047.8562073,0.0,129784047.8562073,True,gross,expected_loss,0.0,26,20260842,short,stable,False,none,0.0
short_stable_no_break,2020,128230977.8730076,pricing_mc_v1,128300683.178737,0.0,128300683.178737,True,gross,expected_loss,0.0,26,20260842,short,stable,False,none,0.0
short_stable_no_break,2021,132934211.35267717,pricing_mc_v1,117767838.29657656,15166373.056100607,132934211.35267717,False,gross,expected_loss,1853093.8616505994,26,20260842,short,stable,False,none,13313279.194450008
short_stable_no_break,2022,138754510.23007426,pricing_mc_v1,87823323.94079079,50931186.28928347,138754510.23007426,False,gross,expected_loss,7229073.06408266,26,20260842,short,stable,False,none,43702113.22520081
short_stable_no_break,2023,143197373.0330518,pricing_mc_v1,85852925.88317367,57344447.149878114,143197373.0330518,False,gross,expected_loss,32659709.85334755,26,20260842,short,stable,False,none,24684737.296530563
short_stable_no_break,2024,149194709.69424832,pricing_mc_v1,82807216.11969224,66387493.57455608,149194709.69424832,False,gross,expected_loss,74786676.29332677,26,20260842,short,stable,False,none,-8399182.718770683
short_stable_no_break,2010,10831132.194445187,pricing_mc_v1,13773112.688157182,0.0,13773112.688157182,True,ceded,expected_loss,0.0,26,20260842,short,stable,False,none,0.0
short_stable_no_break,2011,11866615.197172416,pricing_mc_v1,3418329.738624052,8448285.458548363,11866615.197172415,False,ceded,expected_loss,0.0,26,20260842,short,stable,False,none,8448285.458548363
short_stable_no_break,2012,13082760.09056677,pricing_mc_v1,18755044.290088337,0.0,18755044.290088337,True,ceded,expected_loss,0.0,26,20260842,short,stable,False,none,0.0
short_stable_no_break,2013,14646584.852065822,pricing_mc_v1,10076457.964272244,4570126.887793578,14646584.852065822,False,ceded,expected_loss,0.0,26,20260842,short,stable,False,none,4570126.887793578
short_stable_no_break,2014,16099494.21746044,pricing_mc_v1,24777632.581945483,0.0,24777632.581945483,True,ceded,expected_loss,0.0,26,20260842,short,stable,False,none,0.0
short_stable_no_break,2015,17606606.810888685,pricing_mc_v1,24642968.86535992,0.0,24642968.86535992,True,ceded,expected_loss,0.0,26,20260842,short,stable,False,none,0.0
short_stable_no_break,2016,19197216.97180749,pricing_mc_v1,11305326.511555534,7891890.460251957,19197216.97180749,False,ceded,expected_loss,0.0,26,20260842,short,stable,False,none,7891890.460251957
short_stable_no_break,2017,21605728.60554214,pricing_mc_v1,16243096.820817852,5362631.784724286,21605728.60554214,False,ceded,expected_loss,0.0,26,20260842,short,stable,False,none,5362631.784724286
short_stable_no_break,2018,23707995.97843727,pricing_mc_v1,21489852.278408684,2218143.700028587,23707995.97843727,False,ceded,expected_loss,0.0,26,20260842,short,stable,False,none,2218143.700028587
short_stable_no_break,2019,25674328.913459502,pricing_mc_v1,26369920.985677805,0.0,26369920.985677805,True,ceded,expected_loss,0.0,26,20260842,short,stable,False,none,0.0
short_stable_no_break,2020,29000934.802801725,pricing_mc_v1,27437117.763929397,1563817.0388723277,29000934.802801725,False,ceded,expected_loss,0.0,26,20260842,short,stable,False,none,1563817.0388723277
short_stable_no_break,2021,31892144.30849073,pricing_mc_v1,32946665.662029613,0.0,32946665.662029613,True,ceded,expected_loss,751383.4944346736,26,20260842,short,stable,False,none,-751383.4944346736
short_stable_no_break,2022,35315436.85387436,pricing_mc_v1,14860533.64037903,20454903.213495333,35315436.85387436,False,ceded,expected_loss,5192428.949569721,26,20260842,short,stable,False,none,15262474.263925612
short_stable_no_break,2023,38665313.28563042,pricing_mc_v1,15913208.90882572,22752104.376804702,38665313.28563042,False,ceded,expected_loss,15744664.322118985,26,20260842,short,stable,False,none,7007440.054685717
short_stable_no_break,2024,42781010.08873995,pricing_mc_v1,12783048.818028972,29997961.270710975,42781010.08873995,False,ceded,expected_loss,37811580.9693187,26,20260842,short,stable,False,none,-7813619.698607728
short_stable_no_break,2010,86443353.24362053,pricing_mc_v1,99327805.51367095,0.0,99327805.51367095,True,gross,expected_loss,0.0,27,20260843,short,stable,False,none,0.0
short_stable_no_break,2011,89501387.97413269,pricing_mc_v1,106997017.21689461,0.0,106997017.21689461,True,gross,expected_loss,0.0,27,20260843,short,stable,False,none,0.0
short_stable_no_break,2012,92821280.32590528,pricing_mc_v1,92575707.47614709,245572.8497581929,92821280.32590528,False,gross,expected_loss,0.0,27,20260843,short,stable,False,none,245572.8497581929
short_stable_no_break,2013,97219172.94710933,pricing_mc_v1,82806688.68323031,14412484.263879016,97219172.94710933,False,gross,expected_loss,0.0,27,20260843,short,stable,False,none,14412484.263879016
short_stable_no_break,2014,100714210.71215343,pricing_mc_v1,83752934.09401174,16961276.618141696,100714210.71215343,False,gross,expected_loss,0.0,27,20260843,short,stable,False,none,16961276.618141696
short_stable_no_break,2015,104555715.13205469,pricing_mc_v1,92662370.59901297,11893344.533041716,104555715.13205469,False,gross,expected_loss,0.0,27,20260843,short,stable,False,none,11893344.533041716
short_stable_no_break,2016,108170412.59938948,pricing_mc_v1,106806423.68398777,1363988.915401712,108170412.59938948,False,gross,expected_loss,0.0,27,20260843,short,stable,False,none,1363988.915401712
short_stable_no_break,2017,113212500.65963858,pricing_mc_v1,135764388.32949418,0.0,135764388.32949418,True,gross,expected_loss,0.0,27,20260843,short,stable,False,none,0.0
short_stable_no_break,2018,117652811.81286904,pricing_mc_v1,82859354.83779153,34793456.97507751,117652811.81286904,False,gross,expected_loss,0.0,27,20260843,short,stable,False,none,34793456.97507751
short_stable_no_break,2019,121431102.18952312,pricing_mc_v1,113894834.29590891,7536267.893614203,121431102.18952312,False,gross,expected_loss,0.0,27,20260843,short,stable,False,none,7536267.893614203
short_stable_no_break,2020,128230977.8730076,pricing_mc_v1,159021013.4513186,0.0,159021013.4513186,True,gross,expected_loss,0.0,27,20260843,short,stable,False,none,0.0
short_stable_no_break,2021,132934211.35267717,pricing_mc_v1,99595655.27784678,33338556.074830383,132934211.35267717,False,gross,expected_loss,915079.1403597146,27,20260843,short,stable,False,none,32423476.93447067
short_stable_no_break,2022,138754510.23007426,pricing_mc_v1,146754402.82546526,0.0,146754402.82546526,True,gross,expected_loss,13798617.318694541,27,20260843,short,stable,False,none,-13798617.318694541
short_stable_no_break,2023,143197373.0330518,pricing_mc_v1,101051059.08353567,42146313.94951612,143197373.0330518,False,gross,expected_loss,29302955.36520611,27,20260843,short,stable,False,none,12843358.584310006
short_stable_no_break,2024,149194709.69424832,pricing_mc_v1,101915897.20562226,47278812.48862606,149194709.69424832,False,gross,expected_loss,113915472.33321807,27,20260843,short,stable,False,none,-66636659.844592005
short_stable_no_break,2010,10831132.194445187,pricing_mc_v1,20786764.17273353,0.0,20786764.17273353,True,ceded,expected_loss,0.0,27,20260843,short,stable,False,none,0.0
short_stable_no_break,2011,11866615.197172416,pricing_mc_v1,23980580.185521707,0.0,23980580.185521707,True,ceded,expected_loss,0.0,27,20260843,short,stable,False,none,0.0
short_stable_no_break,2012,13082760.09056677,pricing_mc_v1,15231908.446584832,0.0,15231908.446584832,True,ceded,expected_loss,0.0,27,20260843,short,stable,False,none,0.0
short_stable_no_break,2013,14646584.852065822,pricing_mc_v1,13137794.870339623,1508789.9817261994,14646584.852065822,False,ceded,expected_loss,0.0,27,20260843,short,stable,False,none,1508789.9817261994
short_stable_no_break,2014,16099494.21746044,pricing_mc_v1,17086590.98803715,0.0,17086590.98803715,True,ceded,expected_loss,0.0,27,20260843,short,stable,False,none,0.0
short_stable_no_break,2015,17606606.810888685,pricing_mc_v1,15758149.785200547,1848457.0256881379,17606606.810888685,False,ceded,expected_loss,0.0,27,20260843,short,stable,False,none,1848457.0256881379
short_stable_no_break,2016,19197216.97180749,pricing_mc_v1,25495274.923663694,0.0,25495274.923663694,True,ceded,expected_loss,0.0,27,20260843,short,stable,False,none,0.0
short_stable_no_break,2017,21605728.60554214,pricing_mc_v1,31643561.724489078,0.0,31643561.724489078,True,ceded,expected_loss,0.0,27,20260843,short,stable,False,none,0.0
short_stable_no_break,2018,23707995.97843727,pricing_mc_v1,11630796.982110215,12077198.996327056,23707995.97843727,False,ceded,expected_loss,0.0,27,20260843,short,stable,False,none,12077198.996327056
short_stable_no_break,2019,25674328.913459502,pricing_mc_v1,20997680.892706513,4676648.020752989,25674328.913459502,False,ceded,expected_loss,0.0,27,20260843,short,stable,False,none,4676648.020752989
short_stable_no_break,2020,29000934.802801725,pricing_mc_v1,37051715.929685764,0.0,37051715.929685764,True,ceded,expected_loss,0.0,27,20260843,short,stable,False,none,0.0
short_stable_no_break,2021,31892144.30849073,pricing_mc_v1,17431164.933540218,14460979.374950513,31892144.30849073,False,ceded,expected_loss,525982.4870422077,27,20260843,short,stable,False,none,13934996.887908306
short_stable_no_break,2022,35315436.85387436,pricing_mc_v1,36175560.71073694,0.0,36175560.71073694,True,ceded,expected_loss,9683620.654309088,27,20260843,short,stable,False,none,-9683620.654309088
short_stable_no_break,2023,38665313.28563042,pricing_mc_v1,21384353.21738473,17280960.06824569,38665313.28563042,False,ceded,expected_loss,15417319.176049136,27,20260843,short,stable,False,none,1863640.8921965547
short_stable_no_break,2024,42781010.08873995,pricing_mc_v1,13238922.975679118,29542087.11306083,42781010.08873995,False,ceded,expected_loss,45579671.352302,27,20260843,short,stable,False,none,-16037584.239241172
short_stable_no_break,2010,86443353.24362053,pricing_mc_v1,93643392.9659492,0.0,93643392.9659492,True,gross,expected_loss,0.0,28,20260844,short,stable,False,none,0.0
short_stable_no_break,2011,89501387.97413269,pricing_mc_v1,74085628.72030564,15415759.25382705,89501387.97413269,False,gross,expected_loss,0.0,28,20260844,short,stable,False,none,15415759.25382705
short_stable_no_break,2012,92821280.32590528,pricing_mc_v1,97913295.0950146,0.0,97913295.0950146,True,gross,expected_loss,0.0,28,20260844,short,stable,False,none,0.0
short_stable_no_break,2013,97219172.94710933,pricing_mc_v1,100133461.21742961,0.0,100133461.21742961,True,gross,expected_loss,0.0,28,20260844,short,stable,False,none,0.0
short_stable_no_break,2014,100714210.71215343,pricing_mc_v1,142091037.90183342,0.0,142091037.90183342,True,gross,expected_loss,0.0,28,20260844,short,stable,False,none,0.0
short_stable_no_break,2015,104555715.13205469,pricing_mc_v1,96283233.8096972,8272481.322357491,104555715.13205469,False,gross,expected_loss,0.0,28,20260844,short,stable,False,none,8272481.322357491
short_stable_no_break,2016,108170412.59938948,pricing_mc_v1,120112429.7514604,0.0,120112429.7514604,True,gross,expected_loss,0.0,28,20260844,short,stable,False,none,0.0
short_stable_no_break,2017,113212500.65963858,pricing_mc_v1,71821722.41823122,41390778.241407365,113212500.65963858,False,gross,expected_loss,0.0,28,20260844,short,stable,False,none,41390778.241407365
short_stable_no_break,2018,117652811.81286904,pricing_mc_v1,66551718.90371522,51101092.90915382,117652811.81286904,False,gross,expected_loss,0.0,28,20260844,short,stable,False,none,51101092.90915382
short_stable_no_break,2019,121431102.18952312,pricing_mc_v1,127386878.73369187,0.0,127386878.73369187,True,gross,expected_loss,0.0,28,20260844,short,stable,False,none,0.0
short_stable_no_break,2020,128230977.8730076,pricing_mc_v1,130444166.11831,0.0,130444166.11831,True,gross,expected_loss,139512.19965583042,28,20260844,short,stable,False,none,-139512.19965583042
short_stable_no_break,2021,132934211.35267717,pricing_mc_v1,120857313.18062514,12076898.172052026,132934211.35267717,False,gross,expected_loss,749449.703674916,28,20260844,short,stable,False,none,11327448.46837711
