simulation_id,scenario_id,tail_type,inflation_scenario,structural_break,clause_type,model,basis,success_or_failure,estimated_reserve,true_reserve,signed_error,absolute_error,percentage_error,absolute_percentage_error,runtime_seconds,seed,pricing_assumption_version
30,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,838515045.4145094,625499222.5128746,213015822.9016348,213015822.9016348,34.055329764578616,34.055329764578616,0.00881387099980202,20260846,pricing_mc_v1
30,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,381294326.0047182,291157767.08729905,90136558.91741914,90136558.91741914,30.95797849362992,30.95797849362992,0.008582130998547655,20260846,pricing_mc_v1
31,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,690007317.017854,738012142.2479068,-48004825.23005283,48004825.23005283,-6.504611846064649,6.504611846064649,0.008171363999281311,20260847,pricing_mc_v1
31,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,305734744.5672859,340746313.9475435,-35011569.38025761,35011569.38025761,-10.274966433135795,10.274966433135795,0.008487887000228511,20260847,pricing_mc_v1
32,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,721312889.7091663,674588726.370204,46724163.33896232,46724163.33896232,6.926318438550485,6.926318438550485,0.008543308000298566,20260848,pricing_mc_v1
32,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,331247964.66183066,294051928.4134518,37196036.24837887,37196036.24837887,12.649478766920167,12.649478766920167,0.008445691999440896,20260848,pricing_mc_v1
33,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,673163292.5126581,698547627.2716047,-25384334.758946538,25384334.758946538,-3.6338731631074266,3.6338731631074266,0.008543489000658155,20260849,pricing_mc_v1
33,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,323803695.02655697,325296152.4202118,-1492457.3936548233,1492457.3936548233,-0.458799583871774,0.458799583871774,0.0085949830008758,20260849,pricing_mc_v1
34,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,734276969.9821317,711979917.6094035,22297052.37272823,22297052.37272823,3.131696810718266,3.131696810718266,0.0085564830005751,20260850,pricing_mc_v1
34,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,355461166.5025044,353659686.90908873,1801479.5934156775,1801479.5934156775,0.5093822281980257,0.5093822281980257,0.0085006829995109,20260850,pricing_mc_v1
35,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,755577593.7273264,661633631.7672038,93943961.96012259,93943961.96012259,14.198788793308625,14.198788793308625,0.008652300999528961,20260851,pricing_mc_v1
35,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,334576044.2162822,310671306.8566615,23904737.35962069,23904737.35962069,7.694543020881531,7.694543020881531,0.00886138400164782,20260851,pricing_mc_v1
36,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,791780069.7478507,626685541.6008736,165094528.14697707,165094528.14697707,26.344078040358436,26.344078040358436,0.008422072000030312,20260852,pricing_mc_v1
36,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,377483102.8232837,298373766.60150135,79109336.22178233,79109336.22178233,26.513502551797146,26.513502551797146,0.008203173998481361,20260852,pricing_mc_v1
37,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,788466069.9203256,573192608.4815664,215273461.4387592,215273461.4387592,37.55691511951559,37.55691511951559,0.0085889469992253,20260853,pricing_mc_v1
37,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,347315100.169861,280012844.6247065,67302255.54515451,67302255.54515451,24.035417245004552,24.035417245004552,0.008409054000367178,20260853,pricing_mc_v1
38,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,725049252.2825671,673701907.4173647,51347344.86520243,51347344.86520243,7.621671291097037,7.621671291097037,0.008239057000537287,20260854,pricing_mc_v1
38,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,342596216.71546686,312303097.24901414,30293119.466452718,30293119.466452718,9.699910033968882,9.699910033968882,0.008663175000037882,20260854,pricing_mc_v1
39,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,744243513.3168117,705695914.6879461,38547598.6288656,38547598.6288656,5.462352526996147,5.462352526996147,0.00852730699989479,20260855,pricing_mc_v1
39,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,350765047.7416849,329071260.7806257,21693786.961059213,21693786.961059213,6.592428311605524,6.592428311605524,0.008267581000836799,20260855,pricing_mc_v1
40,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,695859161.8887963,582855653.1355705,113003508.7532258,113003508.7532258,19.38790644738613,19.38790644738613,0.008640456999273738,20260856,pricing_mc_v1
40,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,324180488.45458394,264420912.58280376,59759575.87178019,59759575.87178019,22.600170042551532,22.600170042551532,0.008312833999298164,20260856,pricing_mc_v1
41,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,775441431.5423241,663356288.9427022,112085142.59962189,112085142.59962189,16.896672944530312,16.896672944530312,0.00855422200038447,20260857,pricing_mc_v1
41,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,356786794.50134337,319130515.04039764,37656279.460945725,37656279.460945725,11.799648634722049,11.799648634722049,0.008531405999747221,20260857,pricing_mc_v1
42,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,708308691.0403228,760742684.7051454,-52433993.66482258,52433993.66482258,-6.8924742516775375,6.8924742516775375,0.008564972999010934,20260858,pricing_mc_v1
42,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,318503796.68592393,365620897.7543769,-47117101.068452954,47117101.068452954,-12.886873085713521,12.886873085713521,0.00821148999966681,20260858,pricing_mc_v1
43,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,759716702.0167297,708200244.9624375,51516457.0542922,51516457.0542922,7.274278344400263,7.274278344400263,0.00833264299944858,20260859,pricing_mc_v1
43,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,347810168.71223176,361095337.33123547,-13285168.619003713,13285168.619003713,-3.6791304803853304,3.6791304803853304,0.008486527998684323,20260859,pricing_mc_v1
44,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,757270721.5260454,785838536.0565786,-28567814.530533195,28567814.530533195,-3.635328788263493,3.635328788263493,0.008269707999716047,20260860,pricing_mc_v1
44,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,380116680.86220706,385637467.7939311,-5520786.9317240715,5520786.9317240715,-1.431600244474729,1.431600244474729,0.008476942999550374,20260860,pricing_mc_v1
45,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,646878807.6803575,674736006.6359785,-27857198.955621004,27857198.955621004,-4.128607141407532,4.128607141407532,0.008323562000441598,20260861,pricing_mc_v1
45,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,298511477.35316837,326853781.3478096,-28342303.994641244,28342303.994641244,-8.671248616971578,8.671248616971578,0.008253378000517841,20260861,pricing_mc_v1
46,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,716858335.6324799,709992671.0915889,6865664.540891051,6865664.540891051,0.9670049875775947,0.9670049875775947,0.00816976499845623,20260862,pricing_mc_v1
46,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,334737690.9384386,344662403.1959149,-9924712.25747633,9924712.25747633,-2.879545945669876,2.879545945669876,0.008315593000588706,20260862,pricing_mc_v1
47,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,763301534.9636183,641971582.1862807,121329952.77733755,121329952.77733755,18.899583119262008,18.899583119262008,0.008507257000019308,20260863,pricing_mc_v1
47,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,346184289.4455456,298208536.8960704,47975752.54947519,47975752.54947519,16.087987637387915,16.087987637387915,0.008634163999886368,20260863,pricing_mc_v1
48,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,833126949.901202,657056027.2257503,176070922.67545164,176070922.67545164,26.796942023173532,26.796942023173532,0.008476790999338846,20260864,pricing_mc_v1
48,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,351783446.40805185,322795334.1595725,28988112.248479366,28988112.248479366,8.980338059703557,8.980338059703557,0.008494207000694587,20260864,pricing_mc_v1
49,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,776150361.6315944,604805252.3114972,171345109.3200972,171345109.3200972,28.330625216172574,28.330625216172574,0.008604897000623168,20260865,pricing_mc_v1
49,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,342094512.6583478,287480166.4890658,54614346.16928196,54614346.16928196,18.99760489089573,18.99760489089573,0.008504084000378498,20260865,pricing_mc_v1
50,long_emerging_break,long,emerging,True,none,expected_loss,gross,success,772153236.1854806,709759978.3841977,62393257.80128288,62393257.80128288,8.790754579220442,8.790754579220442,0.008689434000189067,20260866,pricing_mc_v1
50,long_emerging_break,long,emerging,True,none,expected_loss,ceded,success,350250704.511656,335576286.10000974,14674418.411646247,14674418.411646247,4.3729008930246405,4.3729008930246405,0.00854172599974845,20260866,pricing_mc_v1
1,long_shock_break,long,shock,True,none,expected_loss,gross,success,968789040.6434988,776649688.4045899,192139352.2389089,192139352.2389089,24.73951320750615,24.73951320750615,0.008554099998946185,20260817,pricing_mc_v1
1,long_shock_break,long,shock,True,none,expected_loss,ceded,success,459921415.86688125,379285494.58321106,80635921.28367019,80635921.28367019,21.25995389628051,21.25995389628051,0.008429328001511749,20260817,pricing_mc_v1
2,long_shock_break,long,shock,True,none,expected_loss,gross,success,857063422.3094896,751561324.2684755,105502098.04101408,105502098.04101408,14.037723155020444,14.037723155020444,0.008283484999992652,20260818,pricing_mc_v1
2,long_shock_break,long,shock,True,none,expected_loss,ceded,success,432697483.73856103,410910544.1490245,21786939.589536548,21786939.589536548,5.3021125643432265,5.3021125643432265,0.008080773999608937,20260818,pricing_mc_v1
3,long_shock_break,long,shock,True,none,expected_loss,gross,success,788543759.5732871,689230652.0957657,99313107.47752142,99313107.47752142,14.409270274840052,14.409270274840052,0.008107026000288897,20260819,pricing_mc_v1
3,long_shock_break,long,shock,True,none,expected_loss,ceded,success,395534304.2745048,394227884.4940707,1306419.780434072,1306419.780434072,0.3313869545556514,0.3313869545556514,0.00825331499981985,20260819,pricing_mc_v1
4,long_shock_break,long,shock,True,none,expected_loss,gross,success,886988792.4060652,717712792.2217093,169276000.18435597,169276000.18435597,23.58547904104582,23.58547904104582,0.008250511000369443,20260820,pricing_mc_v1
4,long_shock_break,long,shock,True,none,expected_loss,ceded,success,452145127.0680007,363312484.70784414,88832642.36015654,88832642.36015654,24.450754130178282,24.450754130178282,0.008298482000100194,20260820,pricing_mc_v1
5,long_shock_break,long,shock,True,none,expected_loss,gross,success,817046741.84354,681358143.68807,135688598.1554699,135688598.1554699,19.914431112690856,19.914431112690856,0.00838831900000514,20260821,pricing_mc_v1
