comparison_id,analysis_family,source_step,model_a,model_b,group_type,scenario_id,basis,pool_label,valid_paired_rows,mean_paired_ape_difference,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_resamples,bootstrap_seed
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,scenario_basis,long_shock_break,ceded,,50,-39.24270007564996,-40.81523972389791,-37.42571176192696,10000,1097748407
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,scenario_basis,long_shock_no_break,ceded,,50,-32.759440081924744,-34.36627745390319,-31.020884450909854,10000,492381227
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,scenario_basis,long_stable_break,ceded,,50,-37.93001089931951,-40.21793827502373,-35.485665250235,10000,2326276272
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,scenario_basis,long_stable_no_break,ceded,,50,-31.635615745719118,-33.89095324957542,-29.17268516450611,10000,593763611
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,scenario_basis,short_emerging_no_break,ceded,,50,-44.2997836919931,-47.78078838966748,-40.38987264410148,10000,241097955
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,scenario_basis,short_shock_no_break,ceded,,50,-46.44830019891421,-49.40973993794878,-43.02705402530756,10000,4006990368
step28_break_aware_ceded_specific_vs_break_aware_bf,core_model,28,bornhuetter_ferguson_break_aware_ceded_specific,bornhuetter_ferguson_break_aware,scenario_basis,short_stable_no_break,ceded,,50,-41.227810359213144,-45.44394101499134,-36.64930155742577,10000,1202300852
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_break,ceded,,0,,,,10000,1515340856
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_break,ceded,,0,,,,10000,3486608116
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,scenario_basis_model,long_emerging_break,ceded,,0,,,,10000,3861080418
