comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,model,required_paired_rows,valid_paired_rows,excluded_pairs,exclusion_reason_counts,maximum_absolute_truth_difference,win_count_a,win_count_b,tie_count,bootstrap_resamples,bootstrap_seed,tie_tolerance,mean_ape_a,mean_ape_b,mean_paired_ape_difference,median_paired_ape_difference,std_paired_ape_difference,win_rate_a,win_rate_b,bootstrap_ci_lower,bootstrap_ci_upper,prior_multiplier_a,prior_multiplier_b,group_type,pool_label
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_shock_no_break,gross,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,3359181112,1e-12,40.47250650429725,25.620481335820912,14.852025168476336,14.567803994360094,2.0348704016278134,0.0,1.0,14.299961536544572,15.416541988620038,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_shock_no_break,gross,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,1126131279,1e-12,40.47250650429725,25.620481335820912,14.852025168476336,14.567803994360094,2.0348704016278134,0.0,1.0,14.308738943316877,15.411755444483111,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_shock_no_break,gross,expected_loss,50,50,0,{},0.0,32,18,0,10000,4017193889,1e-12,39.483464631430316,81.87011859296719,-42.38665396153688,-48.13022145305988,69.74476270344896,0.64,0.36,-61.950673848208474,-23.43894420224725,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_stable_no_break,ceded,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,1794177539,1e-12,63.441032488517465,54.30129061064683,9.139741877870634,8.935625712615543,1.3782363997535,0.0,1.0,8.756904325893686,9.523795959961049,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_stable_no_break,ceded,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,1484471764,1e-12,63.441032488517465,54.30129061064683,9.139741877870634,8.935625712615543,1.3782363997535,0.0,1.0,8.758008548861067,9.535780424842049,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_stable_no_break,ceded,expected_loss,50,50,0,{},0.0,40,10,0,10000,3764982185,1e-12,25.295962222211664,71.27840229217402,-45.98244006996235,-64.50197457707588,46.02905530036537,0.8,0.2,-58.62212560863227,-32.97055191951954,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_stable_no_break,gross,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,4157335965,1e-12,37.93110148116993,22.760823807635084,15.170277673534851,14.949104760144367,1.9763707107380866,0.0,1.0,14.636801543830519,15.703262116383224,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_stable_no_break,gross,bornhuetter_ferguson_standard,50,50,0,{},0.0,0,50,0,10000,4212432415,1e-12,37.93110148116993,22.760823807635084,15.170277673534851,14.949104760144367,1.9763707107380866,0.0,1.0,14.630935132110961,15.713520565154397,0.8,1.0,scenario_basis_model,
prior_0.80_vs_1.00,prior_sensitivity,27,same_model_prior_0.80,same_model_prior_1.00,short_stable_no_break,gross,expected_loss,50,50,0,{},0.0,37,13,0,10000,3409823549,1e-12,38.96885722625962,99.07626350120692,-60.10740627494729,-63.53985623986033,76.41969681865628,0.74,0.26,-81.40219624621896,-39.407883959884096,0.8,1.0,scenario_basis_model,
prior_0.90_vs_1.00,prior_sensitivity,27,same_model_prior_0.90,same_model_prior_1.00,long_emerging_break,ceded,bornhuetter_ferguson_break_aware,50,50,0,{},0.0,0,50,0,10000,2845266060,1e-12,50.634883837121635,45.14987093013515,5.48501290698649,5.485091998455353,0.44431896610490834,0.0,1.0,5.363481371185423,5.609121065266291,0.9,1.0,scenario_basis_model,
