scenario_id,simulation_id,gross_ultimate_a,success_a,ceded_ultimate_a,ceded_true_reserve_a,ceded_share_a,attachment_frequency_a,exhaustion_frequency_a,gross_ultimate_b,success_b,ceded_ultimate_b,ceded_true_reserve_b,ceded_share_b,attachment_frequency_b,exhaustion_frequency_b,present_a,present_b,gross_ultimate_absolute_difference,included_in_mechanics,exclusion_reason,ceded_ultimate_difference_a_minus_b,ceded_true_reserve_difference_a_minus_b,ceded_share_difference_a_minus_b,attachment_frequency_difference_a_minus_b,exhaustion_frequency_difference_a_minus_b,variant_a,variant_b
long_emerging_break,36,1918473362.0007985,True,274495785.5165513,137747675.11135155,0.1430803215481065,0.2591093117408907,0.0067476383265856,1918473362.0007985,True,490674517.21152633,298373766.60150135,0.2557630076759555,0.5937921727395412,0.020242914979757,True,True,0.0,True,included,-216178731.69497502,-160626091.4901498,-0.11268268612784901,-0.3346828609986505,-0.0134952766531714,fully_indexed,fixed_nominal
long_emerging_break,37,1959095394.6993804,True,339236492.01546395,136932018.3069712,0.1731597618642348,0.2972602739726027,0.0123287671232876,1959095394.6993804,True,536756634.5239317,280012844.6247065,0.2739818775421582,0.6,0.0301369863013698,True,True,0.0,True,included,-197520142.50846773,-143080826.3177353,-0.1008221156779234,-0.3027397260273973,-0.017808219178082202,fully_indexed,fixed_nominal
long_emerging_break,38,2025627859.7500188,True,332381250.6902352,164313407.65260363,0.1640880130525328,0.271117166212534,0.0122615803814713,2025627859.7500188,True,541485614.4861038,312303097.24901414,0.267317420561607,0.6348773841961853,0.0286103542234332,True,True,0.0,True,included,-209104363.79586858,-147989689.5964105,-0.10322940750907422,-0.3637602179836513,-0.0163487738419619,fully_indexed,fixed_nominal
long_emerging_break,39,2107581448.687343,True,313361951.50856763,157149150.21532974,0.14868319879345,0.2795275590551181,0.0104986876640419,2107581448.687343,True,549386123.4636625,329071260.7806257,0.2606713604382097,0.6128608923884514,0.0223097112860892,True,True,0.0,True,included,-236024171.95509487,-171922110.56529596,-0.11198816164475972,-0.3333333333333333,-0.011811023622047301,fully_indexed,fixed_nominal
long_emerging_break,40,2114362852.9699416,True,340715975.6096021,128720395.40557696,0.1611435686788647,0.2920592193808883,0.0215343203230148,2114362852.9699416,True,533276612.8237304,264420912.5828038,0.2522162229981778,0.604306864064603,0.034993270524899,True,True,0.0,True,included,-192560637.21412832,-135700517.17722684,-0.0910726543193131,-0.3122476446837147,-0.013458950201884198,fully_indexed,fixed_nominal
long_emerging_break,41,1987218965.616452,True,308196540.9121445,138153086.66799107,0.1550893717525181,0.2781546811397558,0.0122116689280868,1987218965.616452,True,554530272.0739579,319130515.04039764,0.2790483996321653,0.6431478968792401,0.0189959294436906,True,True,0.0,True,included,-246333731.16181344,-180977428.37240657,-0.12395902787964722,-0.36499321573948434,-0.0067842605156037995,fully_indexed,fixed_nominal
long_emerging_break,42,2176698338.064746,True,402889596.2481781,202272136.22784916,0.1850920677443886,0.3204951856946355,0.0178817056396148,2176698338.064746,True,632776550.1135006,365620897.7543769,0.2907047518013397,0.656121045392022,0.0426409903713892,True,True,0.0,True,included,-229886953.86532247,-163348761.52652773,-0.1056126840569511,-0.3356258596973865,-0.0247592847317744,fully_indexed,fixed_nominal
long_emerging_break,43,2050167089.076608,True,342342267.7421789,174337205.32072344,0.1669826179369455,0.3004115226337449,0.0109739368998628,2050167089.076608,True,595393597.7784066,361095337.33123547,0.2904122307643573,0.6364883401920439,0.0301783264746227,True,True,0.0,True,included,-253051330.0362277,-186758132.01051202,-0.1234296128274118,-0.33607681755829905,-0.0192043895747599,fully_indexed,fixed_nominal
long_emerging_break,44,2134515064.3205888,True,346106761.9488349,199908652.79115945,0.1621477251363414,0.2901155327342747,0.0064184852374839,2134515064.3205888,True,598126214.1486044,385637467.7939312,0.2802164407956458,0.6444159178433889,0.0295250320924261,True,True,0.0,True,included,-252019452.1997695,-185728815.00277174,-0.11806871565930438,-0.3543003851091142,-0.0231065468549422,fully_indexed,fixed_nominal
long_emerging_break,45,2180794181.9104514,True,401826690.7470622,179663855.44500625,0.1842570445575235,0.3355614973262032,0.0133689839572192,2180794181.9104514,True,623724942.8665749,326853781.3478096,0.2860081653006659,0.6229946524064172,0.0307486631016042,True,True,0.0,True,included,-221898252.11951268,-147189925.90280336,-0.10175112074314241,-0.28743315508021394,-0.017379679144385,fully_indexed,fixed_nominal
long_emerging_break,46,2131627170.404708,True,357628987.4547114,192682422.3575919,0.1677727664668546,0.3116883116883117,0.0103896103896103,2131627170.404708,True,590898789.1227024,344662403.1959149,0.2772055063505852,0.6246753246753247,0.0324675324675324,True,True,0.0,True,included,-233269801.66799098,-151979980.83832303,-0.10943273988373062,-0.31298701298701304,-0.022077922077922103,fully_indexed,fixed_nominal
long_emerging_break,47,2033338468.16687,True,316084472.5479371,134987888.83152735,0.1554509873768821,0.2935656836461126,0.0134048257372654,2033338468.16687,True,546312269.201435,298208536.8960704,0.2686774866822619,0.5978552278820375,0.0227882037533512,True,True,0.0,True,included,-230227796.65349787,-163220648.06454307,-0.11322649930537979,-0.3042895442359249,-0.0093833780160858,fully_indexed,fixed_nominal
