comparison_id,analysis_family,source_step,model_a,model_b,scenario_id,basis,model,required_paired_rows,valid_paired_rows,excluded_pairs,exclusion_reason_counts,maximum_absolute_truth_difference,win_count_a,win_count_b,tie_count,bootstrap_resamples,bootstrap_seed,tie_tolerance,mean_ape_a,mean_ape_b,mean_paired_ape_difference,median_paired_ape_difference,std_paired_ape_difference,win_rate_a,win_rate_b,bootstrap_ci_lower,bootstrap_ci_upper,shorter_window_years,longer_window_years,group_type,pool_label
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_no_break,gross,inflation_adjusted_chain_ladder,50,0,50,"{""model_a_failed"": 50}",0.0,0,0,0,10000,163539504,1e-12,,,,,,,,,,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_no_break,gross,regularized_poisson,50,50,0,{},0.0,0,50,0,10000,2838817930,1e-12,46.97116138661162,10.963249864557325,36.00791152205429,37.470132525074526,13.475867339822273,0.0,1.0,32.35435174253881,39.81448112795988,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_no_break,gross,regularized_poisson_break_interaction,50,50,0,{},0.0,0,50,0,10000,605962189,1e-12,46.97116022876289,10.963247871164219,36.00791235759866,37.47014020421113,13.475870040544708,0.0,1.0,32.366122484259215,39.80377114949669,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,long_stable_no_break,gross,regularized_tweedie,50,50,0,{},0.0,0,50,0,10000,2065735617,1e-12,47.308961217206125,10.7937541710842,36.515207046121915,38.13652150711244,12.582865156322066,0.0,1.0,33.03460493913167,40.058103666832345,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,short_emerging_no_break,ceded,cashflow_uplift,50,50,0,{},0.0,22,28,0,10000,1431814229,1e-12,22.81962414784544,20.80513290759801,2.014491240247428,0.8995734209407502,8.897397427939554,0.44,0.56,-0.3184275180128863,4.574757186733562,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,short_emerging_no_break,ceded,chain_ladder,50,50,0,{},0.0,23,27,0,10000,667165873,1e-12,22.209916025310346,20.666275354635363,1.543640670674978,0.6898534743439462,8.604549374031599,0.46,0.54,-0.6867830035769725,3.9079505481318018,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,short_emerging_no_break,ceded,inflation_adjusted_chain_ladder,50,50,0,{},0.0,23,27,0,10000,3601116330,1e-12,22.476883386877955,20.914821504561537,1.5620618823164159,0.5413417322452667,10.336285956107286,0.46,0.54,-1.1275561365394355,4.4663745586611725,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,short_emerging_no_break,ceded,regularized_poisson,50,50,0,{},0.0,26,24,0,10000,1337685771,1e-12,19.3879191740042,20.370924755569856,-0.9830055815656564,-0.41884880955782755,9.580716554236615,0.52,0.48,-3.6350009477164673,1.6597987927302387,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,short_emerging_no_break,ceded,regularized_poisson_break_interaction,50,50,0,{},0.0,26,24,0,10000,1337737816,1e-12,19.38791859917123,20.370925076458022,-0.9830064772867925,-0.41884887785888303,9.580716894442464,0.52,0.48,-3.611898610294365,1.6259546268457727,10,15,scenario_basis_model,
history_10_vs_15,history_window,26,same_model_10_year_window,same_model_15_year_window,short_emerging_no_break,ceded,regularized_tweedie,50,50,0,{},0.0,22,28,0,10000,4172540265,1e-12,19.468798818515523,19.84516767596454,-0.3763688574490152,1.1903345611549794,10.472511296782692,0.44,0.56,-3.1333000628327765,2.502949764357082,10,15,scenario_basis_model,
