calibration_version,scenario_id,tail_type,inflation_scenario,structural_break_regime,development_year,incremental_ceded_paid,cumulative_ceded_paid,total_ceded_ultimate,incremental_paid_proportion,cumulative_paid_proportion,incremental_gross_paid,cumulative_gross_paid,total_gross_ultimate,gross_incremental_paid_proportion,gross_cumulative_paid_proportion,calibration_simulations,contributing_accident_years,positive_ceded_accident_years,natural_terminal_development_year,calibration_seed_start,calibration_seed_end,split_half_max_abs_cumulative_difference,available,calibration_source
step28_ceded_development_v1,long_shock_break,long,shock,post_break,7,120723052717.76308,643742418480.1357,900451747658.6122,0.13406943018509498,0.7149105103677332,187865616717.6558,2119868479687.7234,2462563879515.2153,0.07628862677651202,0.8608379653911941,2000,14000,14000,14,91000001,91002000,0.0019377627828074395,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_break,long,shock,post_break,8,98047892447.45502,741790310927.5908,900451747658.6122,0.10888744755330061,0.8237979579210338,135996454637.37036,2255864934325.0938,2462563879515.2153,0.055225554053096426,0.9160635194442904,2000,14000,14000,14,91000001,91002000,0.0019377627828074395,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_break,long,shock,post_break,9,73610411797.7708,815400722725.3616,900451747658.6122,0.08174831354281371,0.9055462714638476,97228364508.37285,2353093298833.467,2462563879515.2153,0.039482575586024346,0.9555460950303148,2000,14000,14000,14,91000001,91002000,0.0019377627828074395,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_break,long,shock,post_break,10,48587443827.17352,863988166552.5352,900451747658.6122,0.05395896443480996,0.9595052358986575,62988094375.74408,2416081393209.211,2462563879515.2153,0.02557825805036336,0.9811243530806782,2000,14000,14000,14,91000001,91002000,0.0019377627828074395,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_break,long,shock,post_break,11,22246487094.024334,886234653646.5594,900451747658.6122,0.02470591805931908,0.9842111539579766,28357616330.56593,2444439009539.777,2462563879515.2153,0.011515484559185713,0.992639837639864,2000,14000,14000,14,91000001,91002000,0.0019377627828074395,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_break,long,shock,post_break,12,9633646714.507746,895868300361.0671,900451747658.6122,0.010698681788954832,0.9949098357469314,12232382832.155554,2456671392371.9326,2462563879515.2153,0.004967336252233035,0.9976071738920971,2000,14000,14000,14,91000001,91002000,0.0019377627828074395,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_break,long,shock,post_break,13,3564646327.9443736,899432946689.0115,900451747658.6122,0.003958731089381855,0.9988685668363132,4571531337.28414,2461242923709.217,2462563879515.2153,0.0018564112692922709,0.9994635851613893,2000,14000,14000,14,91000001,91002000,0.0019377627828074395,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_break,long,shock,post_break,14,1018800969.5999684,900451747658.6115,900451747658.6122,0.0011314331636859969,0.9999999999999992,1320955805.9939723,2462563879515.211,2462563879515.2153,0.0005364148386087828,0.9999999999999982,2000,14000,14000,14,91000001,91002000,0.0019377627828074395,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,1,144155126.16280127,144155126.16280127,1482911274096.518,9.721089095544813e-05,9.721089095544813e-05,75682599916.73674,75682599916.73674,4603147293307.802,0.016441489940321147,0.016441489940321147,2000,30000,30000,14,91000001,91002000,0.0008970297985260167,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,2,12730219566.551249,12874374692.71405,1482911274096.518,0.00858461311133216,0.008681824002287609,437215024534.7216,512897624451.4584,4603147293307.802,0.09498175849605299,0.11142324843637413,2000,30000,30000,14,91000001,91002000,0.0008970297985260167,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,3,54052516923.25212,66926891615.96617,1482911274096.518,0.036450270402175126,0.04513209440446274,616151287563.358,1129048912014.8164,4603147293307.802,0.13385434970962973,0.24527759814600386,2000,30000,30000,14,91000001,91002000,0.0008970297985260167,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,4,99348140421.00618,166275032036.97235,1482911274096.518,0.06699533691355557,0.1121274313180183,618409919370.8556,1747458831385.6719,4603147293307.802,0.13434502090991507,0.37962261905591893,2000,30000,30000,14,91000001,91002000,0.0008970297985260167,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,5,121465025193.5656,287740057230.53796,1482911274096.518,0.08190983999873469,0.194037271316753,517248828834.7069,2264707660220.379,4603147293307.802,0.11236851568636513,0.49199113474228406,2000,30000,30000,14,91000001,91002000,0.0008970297985260167,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,6,134517298178.21062,422257355408.7486,1482911274096.518,0.09071162956810544,0.28474890088485844,432654095142.51117,2697361755362.89,4603147293307.802,0.09399093002553212,0.5859820647678162,2000,30000,30000,14,91000001,91002000,0.0008970297985260167,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,7,146583218568.52127,568840573977.2699,1482911274096.518,0.09884827307542651,0.383597173960285,364942444237.19604,3062304199600.086,4603147293307.802,0.07928107031633784,0.665263135084154,2000,30000,30000,14,91000001,91002000,0.0008970297985260167,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,8,152172165240.12744,721012739217.3973,1482911274096.518,0.1026171746740817,0.4862143486343667,312878225931.7041,3375182425531.79,4603147293307.802,0.0679705006152152,0.7332336356993692,2000,30000,30000,14,91000001,91002000,0.0008970297985260167,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,9,183806404805.16577,904819144022.5631,1482911274096.518,0.12394969814842907,0.6101640467827958,329290985240.5234,3704473410772.3135,4603147293307.802,0.07153605223957461,0.8047696879389438,2000,30000,30000,14,91000001,91002000,0.0008970297985260167,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,10,301339892293.2611,1206159036315.8242,1482911274096.518,0.2032083089238472,0.813372355706643,483004989549.989,4187478400322.3027,4603147293307.802,0.10492929267160246,0.9096989806105463,2000,30000,30000,14,91000001,91002000,0.0008970297985260167,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,11,151227760889.1996,1357386797205.024,1482911274096.518,0.10198031637552757,0.9153526720821706,232059326959.98486,4419537727282.287,4603147293307.802,0.050413187363645716,0.960112167974192,2000,30000,30000,14,91000001,91002000,0.0008970297985260167,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,12,75638238549.94617,1433025035754.9702,1482911274096.518,0.05100658405610255,0.9663592561382732,111923596390.86438,4531461323673.151,4603147293307.802,0.024314580711675766,0.9844267486858677,2000,30000,30000,14,91000001,91002000,0.0008970297985260167,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,13,33652507855.3674,1466677543610.3376,1482911274096.518,0.022693541038637396,0.9890527971769106,48843359680.58068,4580304683353.732,4603147293307.802,0.010610861779632963,0.9950376104655008,2000,30000,30000,14,91000001,91002000,0.0008970297985260167,True,regenerated_frozen_step19_simulations
step28_ceded_development_v1,long_shock_no_break,long,shock,no_break,14,16233730486.180965,1482911274096.5186,1482911274096.518,0.010947202823089712,1.0000000000000002,22842609954.062714,4603147293307.795,4603147293307.802,0.004962389534497844,0.9999999999999986,2000,30000,30000,14,91000001,91002000,0.0008970297985260167,True,regenerated_frozen_step19_simulations
