calibration_version,scenario_id,tail_type,inflation_scenario,structural_break_regime,development_year,incremental_gross_paid,cumulative_gross_paid,incremental_ceded_paid,cumulative_ceded_paid,total_gross_ultimate,total_ceded_ultimate
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,9,269312054595.7838,3319061658694.3154,121393803259.91318,641991037721.7968,4023240253277.7188,1036596463846.5605
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,10,385610939295.0291,3704672597989.3447,205997721079.82672,847988758801.6235,4023240253277.7188,1036596463846.5605
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,11,180766397785.17047,3885438995774.515,102829043233.39699,950817802035.0205,4023240253277.7188,1036596463846.5605
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,12,85034732371.0739,3970473728145.589,51495250803.851425,1002313052838.872,4023240253277.7188,1036596463846.5605
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,13,36231044160.372444,4006704772305.9614,23006536030.914536,1025319588869.7865,4023240253277.7188,1036596463846.5605
step28_ceded_development_v1,long_stable_no_break,long,stable,no_break,14,16535480971.764303,4023240253277.7256,11276874976.773983,1036596463846.5604,4023240253277.7188,1036596463846.5605
step28_ceded_development_v1,short_emerging_no_break,short,emerging,no_break,1,1731888903860.7615,1731888903860.7615,163104183122.32724,163104183122.32724,3529260404636.783,760997060673.805
step28_ceded_development_v1,short_emerging_no_break,short,emerging,no_break,2,1013627887412.3312,2745516791273.093,267451047286.43637,430555230408.7636,3529260404636.783,760997060673.805
step28_ceded_development_v1,short_emerging_no_break,short,emerging,no_break,3,496710962854.66296,3242227754127.756,187645598377.29712,618200828786.0608,3529260404636.783,760997060673.805
step28_ceded_development_v1,short_emerging_no_break,short,emerging,no_break,4,243389540274.43896,3485617294402.195,118863118534.76953,737063947320.8303,3529260404636.783,760997060673.805
step28_ceded_development_v1,short_emerging_no_break,short,emerging,no_break,5,37171829934.87128,3522789124337.066,20112215723.20374,757176163044.034,3529260404636.783,760997060673.805
step28_ceded_development_v1,short_emerging_no_break,short,emerging,no_break,6,6471280299.727154,3529260404636.793,3820897629.7714205,760997060673.8054,3529260404636.783,760997060673.805
step28_ceded_development_v1,short_shock_no_break,short,shock,no_break,1,1755734832748.242,1755734832748.242,171858009535.60187,171858009535.60187,3608262300635.715,823448054520.3523
step28_ceded_development_v1,short_shock_no_break,short,shock,no_break,2,1037995357129.4076,2793730189877.6494,287497205394.83105,459355214930.4329,3608262300635.715,823448054520.3523
step28_ceded_development_v1,short_shock_no_break,short,shock,no_break,3,514014366830.4064,3307744556708.0557,206099521718.73126,665454736649.1642,3608262300635.715,823448054520.3523
step28_ceded_development_v1,short_shock_no_break,short,shock,no_break,4,254410876022.7856,3562155432730.8413,131453241938.42099,796907978587.5852,3608262300635.715,823448054520.3523
step28_ceded_development_v1,short_shock_no_break,short,shock,no_break,5,39218056997.27796,3601373489728.119,22333633015.08439,819241611602.6696,3608262300635.715,823448054520.3523
step28_ceded_development_v1,short_shock_no_break,short,shock,no_break,6,6888810907.593606,3608262300635.713,4206442917.6818876,823448054520.3514,3608262300635.715,823448054520.3523
step28_ceded_development_v1,short_stable_no_break,short,stable,no_break,1,1704010473832.326,1704010473832.326,154344058335.8504,154344058335.8504,3448067459558.9062,703946606342.7651
step28_ceded_development_v1,short_stable_no_break,short,stable,no_break,2,989504092612.2655,2693514566444.5913,249540560734.75613,403884619070.60657,3448067459558.9062,703946606342.7651
step28_ceded_development_v1,short_stable_no_break,short,stable,no_break,3,480432893596.1097,3173947460040.701,172031060560.71286,575915679631.3195,3448067459558.9062,703946606342.7651
step28_ceded_development_v1,short_stable_no_break,short,stable,no_break,4,232923495542.47964,3406870955583.1807,107144012239.29866,683059691870.6182,3448067459558.9062,703946606342.7651
step28_ceded_development_v1,short_stable_no_break,short,stable,no_break,5,35155346985.19466,3442026302568.3755,17594938635.893234,700654630506.5114,3448067459558.9062,703946606342.7651
step28_ceded_development_v1,short_stable_no_break,short,stable,no_break,6,6041156990.532431,3448067459558.9077,3291975836.2547684,703946606342.7661,3448067459558.9062,703946606342.7651
