scenario_id,basis,model,history_window_years,history_start_ay,attempted_fits,required_result_rows,required_rows,applicable_rows,not_applicable_by_design,not_applicable_rows,estimator_invocations,successful_fits,failed_fits,data_dependent_failures,unsuccessful_or_not_applicable,applicability_rate,success_rate,unconditional_success_rate,conditional_fit_success_rate,mean_runtime_seconds,mean_percentage_error,median_percentage_error,mean_absolute_percentage_error,root_mean_squared_error,rmse,standard_deviation_percentage_error,percentage_error_std
short_emerging_no_break,ceded,regularized_tweedie,15,2010,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,5.376225450000784,0.6955766953366532,-3.4091746226864474,19.84516767596454,17673380.807594392,17673380.807594392,24.437521019521487,24.437521019521487
short_emerging_no_break,ceded,chain_ladder,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.0215038500004448,-0.3538031470689583,-4.230521547459818,22.209916025310346,21770948.45098509,21770948.45098509,29.906392696465193,29.906392696465193
short_emerging_no_break,ceded,inflation_adjusted_chain_ladder,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.038303877999569524,1.1776642804175024,-2.1419099263102015,22.476883386877955,22482885.569704745,22482885.569704745,30.693721144832484,30.693721144832484
short_emerging_no_break,ceded,cashflow_uplift,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.030784501999878557,2.8729188027362533,-1.2441385473475637,22.81962414784544,22780511.024210308,22780511.024210308,31.030011300527963,31.030011300527963
short_emerging_no_break,ceded,regularized_poisson,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.6590917379999882,1.7493993472142262,0.9549492544132916,19.387919174004196,17288505.413036425,17288505.413036425,24.48812196167464,24.48812196167464
short_emerging_no_break,ceded,regularized_poisson_break_interaction,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.6783776880000368,1.749399530281865,0.9549492612668442,19.38791859917123,17288505.274900865,17288505.274900865,24.48812173419822,24.48812173419822
short_emerging_no_break,ceded,regularized_tweedie,10,2015,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,2.8051814580002974,-0.16715817164867047,-1.121368802921227,19.468798818515523,17506519.144245874,17506519.144245874,24.823939827568005,24.823939827568005
short_emerging_no_break,ceded,chain_ladder,7,2018,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.020156036000116728,1.3857495243400648,-3.0022774006174675,24.45659071127691,23564315.72942651,23564315.72942651,33.587494719093115,33.587494719093115
short_emerging_no_break,ceded,inflation_adjusted_chain_ladder,7,2018,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.03353621399990516,1.8889810860141738,-3.4687593818609788,24.897648601548266,24165907.901195355,24165907.901195355,34.46306855219111,34.46306855219111
short_emerging_no_break,ceded,cashflow_uplift,7,2018,50,50,50,50,0,0,50,50,0,0,0,1.0,1.0,1.0,1.0,0.028298601999995298,4.673444400309156,0.045087127009989514,25.23373967485231,24660709.8274562,24660709.8274562,34.845061826425386,34.845061826425386
