analysis_type,experiment_step,experiment_name,source_file,scenario_id,simulation_id,seed,model,basis,success,applicable,fit_attempted,status,failure_type,failure_message,applicability_reason,estimated_reserve,true_reserve,reserve_error,percentage_error,absolute_percentage_error,runtime_seconds,tail_type,inflation_scenario,structural_break,history_window_years,history_start_ay,prior_multiplier,pattern_variant,treaty_variant,calibration_version,prior_version,selected_alpha,selected_power,selected_hyperparameter,validation_metric,observed_paid,true_ultimate,pipeline_reconciliation_passed,model_reconciliation_passed
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_break,1,20260817,chain_ladder,gross,True,True,True,success,,,,1013163808.3934472,690279196.5937967,322884611.79965043,46.77594419662858,46.77594419662858,0.0541594110000005,long,emerging,True,,,,,,,,,,,,1196839392.5865352,1887118589.180332,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_break,1,20260817,chain_ladder,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,305729466.5237079,,,,0.0157704550001653,long,emerging,True,,,,,,,,,,,,185149937.4141995,490879403.93790746,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_break,1,20260817,inflation_adjusted_chain_ladder,gross,True,True,True,success,,,,1092964154.4268408,690279196.5937967,402684957.83304405,58.33653394454085,58.33653394454085,0.1301965220000056,long,emerging,True,,,,,,,,,,,,1196839392.5865352,1887118589.180332,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_break,1,20260817,inflation_adjusted_chain_ladder,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,305729466.5237079,,,,0.059019996000643,long,emerging,True,,,,,,,,,,,,185149937.4141995,490879403.93790746,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_break,1,20260817,cashflow_uplift,gross,True,True,True,success,,,,1096817245.6958604,690279196.5937967,406538049.10206366,58.89472710580556,58.89472710580556,0.1152145290006956,long,emerging,True,,,,,,,,,,,,1196839392.5865352,1887118589.180332,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_break,1,20260817,cashflow_uplift,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,305729466.5237079,,,,0.0222226389996649,long,emerging,True,,,,,,,,,,,,185149937.4141995,490879403.93790746,True,False
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_break,1,20260817,regularized_poisson,gross,True,True,True,success,,,,851544516.2944146,690279196.5937967,161265319.7006179,23.36233229921841,23.36233229921841,3.0588780539992517,long,emerging,True,,,,,,,,0.01,,,,1196839392.5865352,1887118589.180332,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_emerging_break,1,20260817,regularized_poisson,ceded,True,True,True,success,,,,841573976.0413417,305729466.5237079,535844509.51763374,175.26753819657793,175.26753819657793,2.5330721279997306,long,emerging,True,,,,,,,,0.1,,,,185149937.4141995,490879403.93790746,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_shock_break,1,20260817,chain_ladder,gross,True,True,True,success,,,,1119212995.8709848,776649688.4045899,342563307.4663949,44.10782783806888,44.10782783806888,0.0694556250000459,long,shock,True,,,,,,,,,,,,1221321986.2212884,1997971674.6258783,True,True
baseline_model,16,frozen_baseline_experiment,data/final/baseline_step16/results.csv,long_shock_break,1,20260817,chain_ladder,ceded,False,True,True,failed,known_sparse_ceded_chain_ladder_limitation,ValueError: The Chain Ladder denominator is zero for development 1 to 2.,,,379285494.5832111,,,,0.0226435239992497,long,shock,True,,,,,,,,,,,,195081558.0873696,574367052.6705806,True,False
